"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "vue", "CSS", "comment", "blank", "total"
"c:\Repositories\npmrungame\.devlog\to-do.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Repositories\npmrungame\README.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 22, 73
"c:\Repositories\npmrungame\app\app.vue", "vue", 0, 0, 0, 0, 59, 0, 0, 9, 68
"c:\Repositories\npmrungame\app\assets\css\admin.css", "CSS", 0, 0, 0, 0, 0, 185, 0, 31, 216
"c:\Repositories\npmrungame\app\assets\css\admin_blogs.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 4, 34
"c:\Repositories\npmrungame\app\assets\css\blogs.css", "CSS", 0, 0, 0, 0, 0, 672, 7, 97, 776
"c:\Repositories\npmrungame\app\assets\css\completed_games.css", "CSS", 0, 0, 0, 0, 0, 219, 6, 34, 259
"c:\Repositories\npmrungame\app\assets\css\contact.css", "CSS", 0, 0, 0, 0, 0, 36, 0, 5, 41
"c:\Repositories\npmrungame\app\assets\css\discover.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 6, 41
"c:\Repositories\npmrungame\app\assets\css\error.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Repositories\npmrungame\app\assets\css\footer.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Repositories\npmrungame\app\assets\css\game_detail.css", "CSS", 0, 0, 0, 0, 0, 39, 0, 7, 46
"c:\Repositories\npmrungame\app\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 659, 1, 135, 795
"c:\Repositories\npmrungame\app\assets\css\navbar.css", "CSS", 0, 0, 0, 0, 0, 121, 2, 26, 149
"c:\Repositories\npmrungame\app\assets\css\recommended_games.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 11, 61
"c:\Repositories\npmrungame\app\assets\css\target_2026_games.css", "CSS", 0, 0, 0, 0, 0, 49, 0, 8, 57
"c:\Repositories\npmrungame\app\assets\css\to_play_games.css", "CSS", 0, 0, 0, 0, 0, 49, 0, 7, 56
"c:\Repositories\npmrungame\app\components\admin\Blogs.vue", "vue", 0, 0, 0, 0, 1130, 0, 16, 126, 1272
"c:\Repositories\npmrungame\app\components\admin\Completed_Games.vue", "vue", 0, 0, 0, 0, 854, 0, 21, 101, 976
"c:\Repositories\npmrungame\app\components\admin\Current_Games.vue", "vue", 0, 0, 0, 0, 594, 0, 21, 91, 706
"c:\Repositories\npmrungame\app\components\admin\Dashboard.vue", "vue", 0, 0, 0, 0, 760, 0, 18, 78, 856
"c:\Repositories\npmrungame\app\components\admin\Notificiations.vue", "vue", 0, 0, 0, 0, 213, 0, 13, 32, 258
"c:\Repositories\npmrungame\app\components\admin\Recommended_Games.vue", "vue", 0, 0, 0, 0, 810, 0, 21, 91, 922
"c:\Repositories\npmrungame\app\components\admin\Registered_Users_Messages.vue", "vue", 0, 0, 0, 0, 295, 0, 4, 49, 348
"c:\Repositories\npmrungame\app\components\admin\Settings.vue", "vue", 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Repositories\npmrungame\app\components\admin\Target_2026_Games.vue", "vue", 0, 0, 0, 0, 717, 0, 18, 85, 820
"c:\Repositories\npmrungame\app\components\admin\To_Play_Games.vue", "vue", 0, 0, 0, 0, 1161, 0, 32, 129, 1322
